id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
2wHA4yJKT8TJhGz20QxUqX,James Smith,Tell Me That You Love Me,Tell Me That You Love Me,194658,0.536,0.402,0.317,0,0.11,0.319,-8.752,0.0359,143.89,6,4,Calm
1eyek0KJEh2v5HQ9uQSybb,Lauv,~how i'm feeling~,Modern Loneliness,252337,0.702,0.144,0.508,0,0.108,0.143,-7.105,0.035,82.008,8,4,Calm
2UTHTASTtmJXiBUmSIXERT,Etham,Before I Lose My Mind (Stripped),Before I Lose My Mind - Stripped,226646,0.635,0.608,0.247,0,0.111,0.181,-11.141,0.0387,124.813,0,4,Calm
18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,"summer,",comethru,181613,0.795,0.607,0.178,0,0.623,0.608,-11.991,0.0574,93.982,0,4,Calm
3H3r2nKWa3Yk5gt8xgmsEt,Sam Fischer,This City,This City,194853,0.605,0.733,0.377,0,0.0808,0.519,-6.213,0.0443,73.877,11,4,Calm
74D7JUfU6HYeMx4bZhsHnG,Ali Gatie,What If I Told You That I Love You,What If I Told You That I Love You,193667,0.605,0.63,0.365,6.83E-06,0.0554,0.224,-11.144,0.111,84.628,7,4,Calm
5O2P9iiztwhomNh8xkR9lJ,One Direction,FOUR (Deluxe),Night Changes,226600,0.672,0.859,0.52,0,0.115,0.37,-7.747,0.0353,120.001,8,4,Calm
4gbTxDPmg2KOUpfp727PGT,Rachel Platten,Waves,Whole Heart,191813,0.563,0.108,0.517,0,0.135,0.187,-6.867,0.0716,145.32,5,4,Calm
5uCax9HTNlzGybIStD3vDh,James Arthur,Back from the Edge,Say You Won't Let Go,211466,0.358,0.695,0.557,0,0.0902,0.494,-7.398,0.059,85.043,10,4,Calm
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,182160,0.501,0.751,0.405,0,0.105,0.446,-5.679,0.0319,109.891,1,4,Calm
58wyJLv6yH1La9NIZPl3ne,Kina,Can We Kiss Forever?,Can We Kiss Forever?,187931,0.522,0.894,0.128,0.026,0.0941,0.124,-18.717,0.0357,109.986,4,4,Calm
4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,Rare,Lose You To Love Me,206458,0.488,0.556,0.343,0,0.21,0.0978,-8.985,0.0436,102.819,4,4,Calm
5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,Without Me,201660,0.752,0.297,0.488,9.11E-06,0.0936,0.533,-7.05,0.0705,136.041,6,4,Calm
0IeaJUUR4qKMXNSngFe8KT,Thomas Vee,10000 Hours,10000 Hours,168960,0.66,0.0428,0.611,0,0.0942,0.336,-5.863,0.0354,89.895,3,4,Calm
5JKU2tXiG3yvJtefNwe7ZQ,3LAU,Ultraviolet,Touch,205772,0.576,0.0166,0.797,3.23E-05,0.21,0.137,-5.476,0.0499,110.051,11,4,Calm
4ZLzoOkj0MPWrTLvooIuaa,Kina,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),179080,0.498,0.72,0.235,0,0.144,0.0895,-16.541,0.188,118.917,1,4,Calm
0Jlcvv8IykzHaSmj49uNW8,Taylor Swift,folklore,the 1,210251,0.777,0.757,0.357,7.28E-06,0.108,0.172,-6.942,0.0522,139.883,0,4,Calm
6bZuZKR8hoyzZXNh1IW2Bu,Anna of the North,Lovers,Lovers,215773,0.554,0.458,0.486,0.00737,0.136,0.422,-8.856,0.0403,94.984,8,4,Calm
0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),173799,0.56,0.555,0.68,0,0.116,0.319,-7.648,0.321,89.391,6,4,Calm
6UFivO2zqqPFPoQYsEMuCc,Clairo,Immunity,Bags,260519,0.742,0.172,0.546,0.38,0.115,0.868,-7.694,0.0315,104.996,1,4,Calm
7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,Closer,244960,0.748,0.414,0.524,0,0.111,0.661,-5.599,0.0338,95.01,8,4,Calm
7eOkHIcaoUhngxxypM5Ajr,Selena Gomez,Rare,Look At Her Now,162595,0.753,0.114,0.564,0.0273,0.359,0.55,-7.908,0.252,77.342,10,5,Calm
11OwAR3GlBj9E35Cznf7Lj,Selena Gomez,Rare,Vulnerable,192172,0.695,0.132,0.573,0.000137,0.156,0.38,-8.882,0.167,100.031,10,4,Calm
63mdJr3NMY3wReOkNE6c6W,Selena Gomez,Rare,People You Know,194900,0.695,0.0881,0.62,5.43E-05,0.111,0.62,-8.082,0.0521,150.032,8,4,Calm
6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,"thank u, next",7 rings,178626,0.778,0.592,0.317,0,0.0881,0.327,-10.732,0.334,140.048,1,4,Calm
3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next","thank u, next",207320,0.717,0.229,0.653,0,0.101,0.412,-5.634,0.0658,106.966,1,4,Calm
1ZANBLJ4pow8yBrFN9EGFF,Ariana Grande,Dangerous Woman,Dangerous Woman,235946,0.664,0.0529,0.602,0,0.356,0.289,-5.369,0.0412,134.049,4,3,Calm
6YOe3NYUKDcGi46sMw5VAK,longstoryshort,Lost Summer,Lost Summer,156190,0.818,0.00291,0.822,0.00889,0.0916,0.293,-2.475,0.181,125.992,9,4,Calm
4Gt2kh3QbAGU6yquOWn4aW,Lauv,Fake,Fake,146375,0.703,0.139,0.657,0,0.093,0.455,-5.363,0.0783,82.96,4,4,Calm
